S. No.,Entity,Logo,HQ,Domain,Description,Category,Sub Category,Tools/Products
22,Eulytix,https://eptl.vercel.app/logos/eulytix-eu.png,Hungary,https://eulytix.eu/,"Big-data platform for European legislative amendments; tracks EU parliamentary activity, provides analytics for NGOs, researchers and lobbyists",Research & Intelligence,Legislative & Policy Tracking,
23,eKairos,https://eptl.vercel.app/logos/ekairos-net.png,Germany,https://ekairos.net/,"Civic-tech / digital participation platform enabling large-scale, hybrid/asynchronous citizen engagement and bottom-up processes; uses AI to surface patterns and insights",Participation & Election Tech,Deliberative Tech & Citizen Input,
24,SocialHub,https://eptl.vercel.app/logos/socialhub-io.png,Germany,https://socialhub.io/en/,"Social media management platform - unified inbox (comments/mentions across channels), content planner, analytics, campaign-posting",Digital Comms & Advertising,Social Media & Management,
25,HubSpot,https://eptl.vercel.app/logos/hubspot-com.png,United States,https://www.hubspot.com/,"All-in-one inbound marketing, sales and service CRM platform; includes marketing automation, social media management, data hub, content hub and AI enhancements",Campaign Management & CRM,CRM Platforms,
26,Change.org,https://eptl.vercel.app/logos/change-org.png,United States,https://www.change.org/,"Online petition platform enabling citizens to launch campaigns, mobilise support, and influence decision-makers globally",Participation & Election Tech,Citizen Advocacy & Petitions,
27,Oracle,https://eptl.vercel.app/logos/oracle-com.png,United States,https://www.oracle.com/,"Enterprise database and cloud provider (Oracle Database, Oracle Cloud Infrastructure) and business apps (CX/CRM, Eloqua marketing automation, ERP, HCM) used across industries, including governments",Organisational Infrastructure,AI & Data Infrastructure,
28,Anthropic,https://eptl.vercel.app/logos/anthropic-com.png,United States,https://www.anthropic.com/,"AI infrastructure (Claude models, API, enterprise deployments) used across sectors, including by political and civic actors",Organisational Infrastructure,AI & Data Infrastructure,Claude
29,Fortitude,https://eptl.vercel.app/logos/fortitude-info-com.png,Germany,https://www.fortitude-info.com/,"Disinformation defence consultancy (assessment, strategy, training; public & private sector)",Digital Comms & Advertising,Information Integrity & Defense,
30,Appinio,https://eptl.vercel.app/logos/appinio-com.png,Germany,https://www.appinio.com/en/,"AI-powered market-research platform: real-time surveys, insights from millions of respondents across many markets",Research & Intelligence,Public Opinion & Polling,
31,Aaru,https://eptl.vercel.app/logos/aaru-com.png,United States,https://aaru.com/,AI-powered predictive modelling platform: simulates voter/opinion behavior through multi-agent systems and synthetic data,Research & Intelligence,Public Opinion & Polling,
32,Datack,https://eptl.vercel.app/logos/datack-com.png,France,https://datack.com/,"Campaign & mobilisation consultancy (digital/PR agency for advocacy, electoral campaigns)",Strategy & Creative Production,Strategic Advisory & Agencies,
33,Policy Insider AI,https://eptl.vercel.app/logos/policy-insider-ai.png,Germany,https://policy-insider.ai/,AI-powered real-time policy monitoring & public affairs intelligence platform,Research & Intelligence,Legislative & Policy Tracking,
34,Prismos,https://eptl.vercel.app/logos/prismos-ai.png,Belgium,https://prismos.ai/,"AI-driven regulatory & public-policy monitoring platform: tracks reports, debates and agendas across jurisdictions, provides personalised policy intelligence",Research & Intelligence,Legislative & Policy Tracking,
35,HaiX AI,https://eptl.vercel.app/logos/haix-ai.png,United Kingdom,https://www.haix.ai/lander,"AI-powered social & media listening + risk/intelligence platform for brands & campaigns; monitors sentiment, narratives, emerging risks",Research & Intelligence,Social Listening & Data Analytics,
36,Voatz,https://eptl.vercel.app/logos/voatz-com.png,United States,https://voatz.com/,"Mobile/blockchain voting platform for elections, remote/overseas voting, ballots via smartphone/web",Participation & Election Tech,Voting & Election Systems,
37,Estratos,https://eptl.vercel.app/logos/estratos-eu.png,Austria,https://www.estratos.eu/,"Tools and services (messaging, data, micro-fundraising, CRM) for political parties, NGOs and advocacy groups",Campaign Management & CRM,CRM Platforms,Lunda
38,The Blue Owl Group,https://eptl.vercel.app/logos/blueowlgrp-com.png,United Kingdom,https://www.blueowlgrp.com/,"High-level strategic advisory on public policy, tech regulation (AI, social media, data protection, fintech, climate tech, encryption, blockchain), and communications for startups, VCs, corporates, NGOs, and agencies",Strategy & Creative Production,Strategic Advisory & Agencies,
39,Enquire AI,https://eptl.vercel.app/logos/enquire-ai.png,United States,https://www.enquire.ai/,"AI-enabled expert network: on-demand Q&A (“Network Pulses”), AI-led expert interviews, custom surveys, and a knowledge portal, with synthesis across markets, geopolitics, and regulation; includes a dedicated government-affairs offering for regulatory and political-risk intelligence",Research & Intelligence,Public Opinion & Polling,
40,Cygnal,https://eptl.vercel.app/logos/cygn-al.png,United States,https://www.cygn.al/,"Political polling, public-opinion research, voter modelling & campaign-analytics",Research & Intelligence,Public Opinion & Polling,
41,PoliMonitor,https://eptl.vercel.app/logos/polimonitor-com.png,United Kingdom,https://www.polimonitor.com/,"Real-time political monitoring & media/lobby-intelligence platform: tracks parliamentarians, debates, social & traditional media across multiple countries",Research & Intelligence,Social Listening & Data Analytics,
42,deliberAIde,https://eptl.vercel.app/logos/deliberaide-com.png,Germany,https://www.deliberaide.com/,"AI-powered platform for facilitating deliberative dialogue (in-person, online, hybrid); includes transcription, anonymisation, clustering of ideas, insight reporting",Participation & Election Tech,Deliberative Tech & Citizen Input,
43,Battleground AI,https://eptl.vercel.app/logos/battlegroundai-com.png,United States,https://www.battlegroundai.com/,"AI-generated political advertising (copy, creative workflow) for campaigns/agencies",Strategy & Creative Production,Creative AI & Content Production,
44,Swayable,https://eptl.vercel.app/logos/swayable-com.png,United States,https://www.swayable.com/,Randomized controlled trials (RCTs) of creative and messaging to measure how content changes opinions,Research & Intelligence,Public Opinion & Polling,
45,OpSci.ai,https://eptl.vercel.app/logos/opsci-ai.png,France,https://www.opsci.ai/fr,"AI-driven narrative & public-opinion analysis: collecting open/social data, mapping narratives, detecting informational risks and advising organisations",Research & Intelligence,Social Listening & Data Analytics,
46,pollytix strategic research GmbH,https://eptl.vercel.app/logos/pollytix-de.png,Germany,https://pollytix.de/,"Polling, political and social opinion research & strategic consulting",Research & Intelligence,Public Opinion & Polling,
47,LogiVote,https://eptl.vercel.app/logos/logivote-com.png,Israel,https://www.logivote.com/,"Campaign-management & digital voting platform: includes VRM (Voter Relationship Management), digital e-voting apps",Participation & Election Tech,Voting & Election Systems,
48,Policylead,https://eptl.vercel.app/logos/policylead-eu.png,Germany,https://www.policylead.eu/,"Policy-monitoring & media analysis platform: tracks German & EU legislation, stakeholders; offers alerts, dossiers, media monitoring",Research & Intelligence,Legislative & Policy Tracking,
49,Electica,https://eptl.vercel.app/logos/electica-io.png,Ireland,https://electica.io/,"Digital targeting & advertising platform for progressive campaigns; self-serve tool “Advocate” for campaigners; multi-channel ad buy, audience targeting, compliance in Europe",Digital Comms & Advertising,Digital Advertising & Targeting,Advocate
50,SmartRaise,https://eptl.vercel.app/logos/smartraise-net.png,United Kingdom,https://www.smartraise.net/,"Fundraising software platform: recurring donations, donor retention, automated upgrade workflows, campaign/NGO focused",Fundraising & Payments,Fundraising & Payment Systems,
51,Decision 21,https://eptl.vercel.app/logos/decision21-com.png,Czech Republic,https://www.decision21.com/,"Online civic participation platform: supports participatory budgeting, surveys, polls, contests & voting modules for cities, schools & organisations",Participation & Election Tech,Deliberative Tech & Citizen Input,
52,NationBuilder,https://eptl.vercel.app/logos/nationbuilder-com.png,United States,https://nationbuilder.com/,"CRM + campaign-platform for political campaigns, advocacy, nonprofits - includes supporter database, websites, outreach, fundraising, volunteer management",Campaign Management & CRM,CRM Platforms,
53,JoinPolitics,https://eptl.vercel.app/logos/joinpolitics-org.png,Germany,https://www.joinpolitics.org/,"Non-partisan incubator/fellowship for political talent: mentorship, training, seed funding for young or under‐represented candidates",Strategy & Creative Production,Campaign Training & Education,
54,Common Knowledge Co-operative Ltd,https://eptl.vercel.app/logos/commonknowledge-coop.png,United Kingdom,https://commonknowledge.coop/,"Worker-cooperative of technologists, designers & facilitators who build digital tools & infrastructure for grassroots organising and social movements",Strategy & Creative Production,Campaign Training & Education,
55,Citipo,https://eptl.vercel.app/logos/citipo-com.png,France,https://citipo.com/fr,"All-in-one digital platform for activist organisations & campaigns: website builder, CRM for contacts, email/SMS outreach, online surveys/consultations, mobilization & measurement",Campaign Management & CRM,CRM Platforms,
56,mySociety,https://eptl.vercel.app/logos/mysociety-org.png,United Kingdom,https://www.mysociety.org/,"A civic-tech nonprofit building open-source platforms for citizen engagement, transparency, participatory democracy",Participation & Election Tech,Deliberative Tech & Citizen Input,
57,Zelos,https://eptl.vercel.app/logos/getzelos-com.png,Estonia,https://getzelos.com/,"Volunteer management/mobile app for quick signup, team chat, task coordination, ideal for campaigns, non-profits, grassroots mobilisation",Field & Mobilization,Field & Mobilization Tools,
58,PREVENCY,https://eptl.vercel.app/logos/prevency-com.png,Germany,https://prevency.com/,"Offers “simulation and training software” for crisis scenarios, disinformation, cyberattacks, hybrid threats, etc.",Strategy & Creative Production,Campaign Training & Education,InfoRange®
59,SoSha,https://eptl.vercel.app/logos/sosha-ai.png,USA,https://www.sosha.ai/,"Platform for creating and managing organic user-generated social-media campaigns; features include AI-powered writing assistant, social share toolkits, analytics for social/volunteer mobilization",Digital Comms & Advertising,Social Media & Management,
60,Meta,https://eptl.vercel.app/logos/meta-com.png,USA,https://www.meta.com/,"Social-media platforms + advertising network (Facebook, Instagram, WhatsApp) & digital advertising infrastructure",Digital Comms & Advertising,Social Media & Management,Facebook/Instagram/WhatsApp
61,CallHub,https://eptl.vercel.app/logos/callhub-io.png,USA,https://callhub.io/,"All-in-one campaign outreach & canvassing platform: phone banking, peer-to-peer texting, voice broadcasts, campaign workflows, SMS/voice/email, volunteer mobilisation & CRM integrations",Digital Comms & Advertising,Multi-channel Messaging,
62,Magic LEMP,https://eptl.vercel.app/logos/magic-lemp-com.png,France,https://magic-lemp.com/en,"AI solutions focused on multimodal data (text, audio, image), including tools for monitoring political speech, disinformation and narratives (via its subsidiary “Pluralisme”)",Research & Intelligence,Social Listening & Data Analytics,
63,Facelift Brand Building Technologies GmbH,https://eptl.vercel.app/logos/facelift-bbt-com.png,Germany,https://facelift-bbt.com/en/,"A SaaS platform for enterprise social-media management, content planning & publishing, community management, multi-network campaigns, analytics - all within one workspace",Digital Comms & Advertising,Social Media & Management,
64,Who Targets Me,https://eptl.vercel.app/logos/whotargets-me.png,Ireland,https://whotargets.me/en/,"A browser extension + research platform that tracks political ads, targeting and spending by parties/advertisers in online platforms; supports transparency, analysis of digital campaign advertising",Digital Comms & Advertising,Digital Advertising & Targeting,
65,ADIN.AI,https://eptl.vercel.app/logos/adin-ai.png,Turkey,https://www.adin.ai,"AI-native platform for enterprise digital advertising: media planning, buying, optimisation across channels",Digital Comms & Advertising,Digital Advertising & Targeting,
66,Aleph Alpha GmbH,https://eptl.vercel.app/logos/aleph-alpha-com.png,Germany,https://aleph-alpha.com/,"Develops large language models and generative-AI solutions for enterprises & governments, emphasising European data sovereignty",Organisational Infrastructure,AI & Data Infrastructure,
67,polisphere,https://eptl.vercel.app/logos/polisphere-eu.png,Germany,https://www.polisphere.eu/,"Consulting network & ideas-lab for “modern politics”: digital communication, trends, governance",Strategy & Creative Production,Strategic Advisory & Agencies,
68,Go Vocal,https://eptl.vercel.app/logos/govocal-com.png,Belgium,https://www.govocal.com/,"Digital community engagement & participation platform (surveys, voting, participatory budgeting) for governments/municipalities",Participation & Election Tech,Deliberative Tech & Citizen Input,
69,Make.org,https://eptl.vercel.app/logos/make-org.png,France,https://make.org/MD,Civic-tech platform enabling large-scale citizen consultation & deliberation; supports public institutions and NGOs to generate ideas & actions,Participation & Election Tech,Deliberative Tech & Citizen Input,
70,Delib Ltd,https://eptl.vercel.app/logos/delib-net.png,United Kingdom,https://www.delib.net/,"Provides digital platforms for citizen engagement, consultations, budget simulations and public participation",Participation & Election Tech,Deliberative Tech & Citizen Input,Citizen Space/Simulator/Dialogue
71,Dembrane,https://eptl.vercel.app/logos/dembrane-com.png,Netherlands,https://www.dembrane.com/en-US,"AI-driven stakeholder-engagement platform capturing live & async dialogue, turning unstructured input into structured insights",Participation & Election Tech,Deliberative Tech & Citizen Input,ECHO
72,Aristotle Inc.,https://eptl.vercel.app/logos/aristotle-com.png,United States,https://www.aristotle.com/,"Political-campaign software & data: voter files, fundraising, compliance, analytics",Campaign Management & CRM,CRM Platforms,
73,Lunda,https://eptl.vercel.app/logos/lundadonate-org.png,Austria,https://www.lundadonate.org/,Online donation-form & micro-fundraising software built for progressive movements; optimized for EU jurisdictions,Fundraising & Payments,Fundraising & Payment Systems,
74,Chorus AI,https://eptl.vercel.app/logos/chorusai-co.png,United States,https://www.chorusai.co/,"AI-driven campaign and content platform for nonprofits and progressive campaigns: content creation, media monitoring, multi-channel optimisation",Strategy & Creative Production,Creative AI & Content Production,
75,Fundraise Up,https://eptl.vercel.app/logos/fundraiseup-com.png,United States,https://fundraiseup.com/,"Online fundraising platform with AI-powered conversion, modern payment, donor engagement tools",Fundraising & Payments,Fundraising & Payment Systems,
76,Ecanvasser,https://eptl.vercel.app/logos/ecanvasser-com.png,Ireland,https://www.ecanvasser.com/,"Field-canvassing & volunteer mobilisation platform: dashboards, mobile apps, walk lists, territory planning for campaigns",Field & Mobilization,Field & Mobilization Tools,
77,Stateless,https://eptl.vercel.app/logos/statelessworks-com.png,Hungary,https://www.statelessworks.com/,Provides technology frameworks for parallel vote tabulation (PVT) and election-incident reporting for democratic monitoring,Participation & Election Tech,Voting & Election Systems,
78,Hootsuite,https://eptl.vercel.app/logos/hootsuite-com.png,Canada,https://www.hootsuite.com/,"Social-media management platform: scheduling, listening, analytics, multi-channel content",Digital Comms & Advertising,Social Media & Management,
79,Adyen N.V.,https://eptl.vercel.app/logos/adyen-com.png,Netherlands,https://www.adyen.com/,"Global payments platform: accepts online, in-store & mobile payments; handles acquiring, issuing, fraud risk",Fundraising & Payments,Fundraising & Payment Systems,
80,Qomon,https://eptl.vercel.app/logos/qomon-com.png,France,https://qomon.com/,"Volunteer & supporter mobilization platform with field-canvassing, CRM, territory analysis",Field & Mobilization,Field & Mobilization Tools,
81,SoundShape,https://eptl.vercel.app/logos/soundshape-eu.png,Netherlands,https://www.soundshape.eu/,"Provides AI-powered real-time subtitling, translation & captioning for events and video content in multilingual contexts.",Strategy & Creative Production,Creative AI & Content Production,
82,Relentless,https://eptl.vercel.app/logos/relentless-vote.png,United States,https://www.relentless.vote/,"Progressive-organising platform focused on building power via relationships, volunteers and mobilisation (not just data mining)",Field & Mobilization,Field & Mobilization Tools,
83,openPetition,https://eptl.vercel.app/logos/openpetition-eu.png,Germany,https://www.openpetition.eu/,"Online platform for citizens’ initiatives, petitions, signatures and debates aimed at increasing civic participation",Participation & Election Tech,Citizen Advocacy & Petitions,
84,Comitia,https://eptl.vercel.app/logos/scytl-com.png,Spain,https://www.scytl.com/,"Electronic voting, election modernization and results-consolidation systems",Participation & Election Tech,Voting & Election Systems,
85,Rootcause,https://eptl.vercel.app/logos/rootcause-global.png,United Kingdom,https://rootcause.global/,"AI narrative analysis, digital ecosystem intel",Strategy & Creative Production,Strategic Advisory & Agencies,
86,Lomavis,https://eptl.vercel.app/logos/lomavis-com.png,Germany,https://www.lomavis.com/,"Social media management platform (posting, analytics, content-cloud) for companies, agencies, brands & parties",Digital Comms & Advertising,Social Media & Management,
87,C6 Digital Ltd,https://eptl.vercel.app/logos/c6digital-io.png,United Kingdom,https://c6digital.io/,"Advocacy-tech & digital mobilisation consultancy - builds bespoke apps, websites, data integrations for campaigns/NGOs",Strategy & Creative Production,Strategic Advisory & Agencies,
88,Participation Factory,https://eptl.vercel.app/logos/participationfactory-com.png,Czech Republic,https://participationfactory.com/,"Consulting and facilitation of citizen participation, data-driven governance & process design",Participation & Election Tech,Deliberative Tech & Citizen Input,
89,Reset Tech,https://eptl.vercel.app/logos/reset-tech.png,United Kingdom,https://www.reset.tech/,Research & advocacy on digital media threats to democracy; builds tools for media/tech oversight,Digital Comms & Advertising,Information Integrity & Defense,
90,Civey GmbH,https://eptl.vercel.app/logos/civey-com.png,Germany,https://civey.com/,Digital opinion-research platform offering real-time surveys and analytics,Research & Intelligence,Public Opinion & Polling,
91,CrowdInsights GmbH,https://eptl.vercel.app/logos/crowdinsights-de.png,Germany,https://crowdinsights.de/,"SaaS platform for structured citizen participation: surveys, idea-collections, participatory budgets",Participation & Election Tech,Deliberative Tech & Citizen Input,
92,Tectonica,https://eptl.vercel.app/logos/tectonica-co.png,Spain,https://www.tectonica.co/,"Digital organizing, party infrastructure, campaigns",Strategy & Creative Production,Strategic Advisory & Agencies,
93,TrollWall AI,https://eptl.vercel.app/logos/trollwall-ai.png,Slovakia,https://www.trollwall.ai/,AI-powered platform for comment/moderation on social media; automated removal of hate speech & toxic comments,Digital Comms & Advertising,Information Integrity & Defense,
94,Meute,https://eptl.vercel.app/logos/meuteagency-eu.png,Netherlands,https://www.meuteagency.eu/,"Political and social campaign strategy, creative, targeting",Strategy & Creative Production,Strategic Advisory & Agencies,
95,Qela,https://eptl.vercel.app/logos/qela-app.png,Ukraine,https://www.qela.app/,"Gamified community-builder SaaS for movements & campaigns: tasks, volunteer engagement, voting, leaderboards",Field & Mobilization,Field & Mobilization Tools,
96,ifok GmbH,https://eptl.vercel.app/logos/ifok-de.png,Germany,https://ifok.de/,"Strategy & communications consultancy specialising in citizen participation, deliberative processes, sustainability, and open government",Strategy & Creative Production,Strategic Advisory & Agencies,
97,Civocracy,https://eptl.vercel.app/logos/civocracy-com.png,Germany,https://www.civocracy.com/,"SaaS platform for citizen engagement: surveys, idea collection, collaborative decision-making & stakeholder dialogue for governments/organisations",Participation & Election Tech,Deliberative Tech & Citizen Input,
98,YouGov,https://eptl.vercel.app/logos/yougov-com.png,United Kingdom,https://yougov.com/,"Online panel research, public-opinion polling, data & analytics",Research & Intelligence,Public Opinion & Polling,
99,Digitale Box,https://eptl.vercel.app/logos/digitalebox-com.png,France,https://digitalebox.com/,All-in-one political campaign CRM and Citizen Request Management systems,Campaign Management & CRM,CRM Platforms,
100,CamBuildr,https://eptl.vercel.app/logos/cambuildr-com.png,Austria,https://cambuildr.com/,"All-in-one campaigning SaaS: landing pages, emails, outreach, supporter DB, behaviour segmentation & automation",Campaign Management & CRM,CRM Platforms,
101,POLYAS GmbH,https://eptl.vercel.app/logos/polyas-com.png,Germany,https://www.polyas.com/,"Secure online-voting platform for legally-binding elections, nominations & live-voting",Participation & Election Tech,Voting & Election Systems,
102,SAVOIRR,https://eptl.vercel.app/logos/savoirr-com.png,Switzerland,https://www.savoirr.com/,A legislative-&-stakeholder-monitoring SaaS platform providing real-time EU policy tracking and stakeholder mapping,Research & Intelligence,Legislative & Policy Tracking,
103,Demosquare,https://eptl.vercel.app/logos/demosquare-com.png,Switzerland,https://demosquare.com/en/,"AI-powered SaaS platform for monitoring legislation, stakeholder signals & public affairs in Europe",Research & Intelligence,Legislative & Policy Tracking,
104,Valent Projects Ltd,https://eptl.vercel.app/logos/valent-projects-com.png,United Kingdom,https://valent-projects.com/,"AI-powered narrative monitoring, bot & disinformation detection for communications teams",Research & Intelligence,Social Listening & Data Analytics,Ariadne
105,ActiveFence,https://eptl.vercel.app/logos/activefence-com.png,United States,https://www.activefence.com/,"AI-powered trust & safety / content-integrity SaaS: detects disinformation, extremist content, harmful behaviour in real time",Digital Comms & Advertising,Information Integrity & Defense,
106,Bully Pulpit International,https://eptl.vercel.app/logos/bpigroup-com.png,United States,https://bpigroup.com/,"Strategic communications, public affairs, and campaigning agency using data, polling, and digital to win elections, shape policy, and manage reputation",Strategy & Creative Production,Strategic Advisory & Agencies,
107,Kertos GmbH,https://eptl.vercel.app/logos/kertos-io.png,Germany,https://www.kertos.io/en,"AI-powered compliance automation platform for GDPR, ISO27001, EU AI Act, etc.",Organisational Infrastructure,"Operations, Compliance & GDPR",
108,Suffrago,https://eptl.vercel.app/logos/suffrago-org.png,United Kingdom,https://www.suffrago.org/,"Civic-tech platform enabling anonymous citizen input, constituency data dashboards & legislative tracking for elected officials",Participation & Election Tech,Deliberative Tech & Citizen Input,Suffi AI
109,Polpo BV,https://eptl.vercel.app/logos/polpo-com.png,Netherlands,https://polpo.com/,"AI-powered political monitoring platform: parliament tracking, stakeholder mapping, newsletters",Research & Intelligence,Legislative & Policy Tracking,
110,Commonplace,https://eptl.vercel.app/logos/commonplace-is.png,United Kingdom,https://www.commonplace.is/,"Digital citizen engagement & consultation SaaS: collects ideas, feedback, analytics for local governments & infrastructure.",Participation & Election Tech,Deliberative Tech & Citizen Input,
111,NapoleonCat,https://eptl.vercel.app/logos/napoleoncat-com.png,Poland,https://napoleoncat.com/,"All-in-one social-media management platform: publish, schedule, auto-moderate comments, analyze across many channels",Digital Comms & Advertising,Social Media & Management,
112,Numinar,https://eptl.vercel.app/logos/numinar-com.png,United States,https://www.numinar.com/,AI-powered campaign software: all-in-one voter data + CRM + canvassing + texting + modeling platform,Campaign Management & CRM,CRM Platforms,
113,Change Agent AI,https://eptl.vercel.app/logos/thechange-ai.png,United States,https://thechange.ai/,Generative-AI platform for advocacy & campaigns: creates branded AI agents for mission-driven orgs,Strategy & Creative Production,Creative AI & Content Production,
114,Bodyguard,https://eptl.vercel.app/logos/bodyguard-ai.png,France,https://www.bodyguard.ai/en,"AI-powered real-time content moderation (text, image, video) & audience intelligence for online communities and platforms",Digital Comms & Advertising,Information Integrity & Defense,
115,Engaging Networks,https://eptl.vercel.app/logos/engagingnetworks-net.png,United Kingdom,https://www.engagingnetworks.net/,"Digital engagement platform: fundraising, advocacy, email/SMS, supporter databases & political-targeted tools",Campaign Management & CRM,CRM Platforms,
116,ElevenLabs,https://eptl.vercel.app/logos/elevenlabs-io.png,United States,https://elevenlabs.io/,"AI-powered voice synthesis and audio generation (text-to-speech, voice cloning, dubbing)",Strategy & Creative Production,Creative AI & Content Production,
117,Spaak Technologies,https://eptl.vercel.app/logos/spaak-ai.png,Denmark,https://spaak.ai/,"AI-native “operating system” for public affairs: policy monitoring, stakeholder tracking, automated brief drafting",Research & Intelligence,Legislative & Policy Tracking,Hamilton AI
118,Nexus Politics,https://eptl.vercel.app/logos/nexuspolitics-org.png,Germany,https://www.nexuspolitics.org/,"AI-driven platform linking citizens & politicians: citizen concerns, polling, legislative tracking, political CRM",Participation & Election Tech,Deliberative Tech & Citizen Input,
119,Psi Tech,https://eptl.vercel.app/logos/psi-tech.png,United Kingdom,https://psi.tech/,AI-based collective intelligence platform for stakeholder conversations and opinion research,Participation & Election Tech,Deliberative Tech & Citizen Input,
120,Data Sciences Inc.,https://eptl.vercel.app/logos/datasciences-ca.png,Canada,https://datasciences.ca/,"Marketing, data-analytics & predictive modelling for clients including political campaigns",Research & Intelligence,Social Listening & Data Analytics,
121,Connexa,https://eptl.vercel.app/logos/myconnexa-com.png,Israel,https://myconnexa.com/,"AI-driven campaign/mobilisation platform: social-listening, audience segmentation, mass communication tools for political/social orgs",Field & Mobilization,Field & Mobilization Tools,
