S. No.,Entity,Logo,HQ,Domain,Description,Map Bucket 1,Map Bucket 2,Relevance Flag (Y/N),Sub Bucket,Tools/Products,Map Bucket 1 (Normalized),Logo_URL,Logo_File,Logo_Source
76.0,deliberAIde,,Germany,https://www.deliberaide.com/,"AI-powered platform for facilitating deliberative dialogue (in-person, online, hybrid); includes transcription, anonymisation, clustering of ideas, insight reporting",Participation Tech,,Y,,,Engagement & Mobilisation,https://icons.duckduckgo.com/ip3/deliberaide.com.ico,/logos/deliberaide-com.ico,DuckDuckGo
77.0,Battleground AI,,United States,https://www.battlegroundai.com/,"AI-generated political advertising (copy, creative workflow) for campaigns/agencies",Media & Messaging,,Y,,,Messaging & Media,https://icons.duckduckgo.com/ip3/battlegroundai.com.ico,/logos/battlegroundai-com.ico,DuckDuckGo
79.0,OpSci.ai,,France,https://www.opsci.ai/fr,"AI-driven narrative & public-opinion analysis: collecting open/social data, mapping narratives, detecting informational risks and advising organisations",Research,,Y,,,Research & Insights,https://logo.clearbit.com/opsci.ai,/logos/opsci-ai.png,Clearbit
81.0,LogiVote,,Israel,https://www.logivote.com/,"Campaign-management & digital voting platform: includes VRM (Voter Relationship Management), digital e-voting apps",Voting Tech,Voter Engagement,Y,,,Voting Tech,https://logo.clearbit.com/logivote.com,/logos/logivote-com.png,Clearbit
84.0,Electica,,Ireland,https://electica.io/,"Digital targeting & advertising platform for progressive campaigns; self-serve tool “Advocate” for campaigners; multi-channel ad buy, audience targeting, compliance in Europe",Media & Messaging,,Y,,,Messaging & Media,https://logo.clearbit.com/electica.io,/logos/electica-io.png,Clearbit
86.0,SmartRaise,,United Kingdom,https://www.smartraise.net/,"Fundraising software platform: recurring donations, donor retention, automated upgrade workflows, campaign/NGO focused",Fundraising,,Y,,,Fundraising,https://icons.duckduckgo.com/ip3/smartraise.net.ico,/logos/smartraise-net.ico,DuckDuckGo
87.0,Decision 21,,Czech Republic,https://www.decision21.com/,"Online civic participation platform: supports participatory budgeting, surveys, polls, contests & voting modules for cities, schools & organisations",Participation Tech,DelibTech,Y,,,Engagement & Mobilisation,https://logo.clearbit.com/decision21.com,/logos/decision21-com.png,Clearbit
89.0,NationBuilder,,United States,https://nationbuilder.com/,"CRM + campaign-platform for political campaigns, advocacy, nonprofits - includes supporter database, websites, outreach, fundraising, volunteer management",Voter Engagement,Volunteer Mobilisation,Y,,,Engagement & Mobilisation,https://logo.clearbit.com/nationbuilder.com,/logos/nationbuilder-com.png,Clearbit
96.0,Citipo,,France,https://citipo.com/fr,"All-in-one digital platform for activist organisations & campaigns: website builder, CRM for contacts, email/SMS outreach, online surveys/consultations, mobilization & measurement",Volunteer Mobilisation,Voter Engagement,Y,,,Engagement & Mobilisation,https://logo.clearbit.com/citipo.com,/logos/citipo-com.png,Clearbit
99.0,mySociety,,United Kingdom,https://www.mysociety.org/,"A civic-tech nonprofit building open-source platforms for citizen engagement, transparency, participatory democracy",Participation Tech,Organisational Infrastructure,Y,,,Engagement & Mobilisation,https://logo.clearbit.com/mysociety.org,/logos/mysociety-org.png,Clearbit
100.0,Zelos,,Estonia,https://getzelos.com/,"Volunteer management/mobile app for quick signup, team chat, task coordination, ideal for campaigns, non-profits, grassroots mobilisation",Volunteer Mobilisation,,Y,,,Engagement & Mobilisation,https://logo.clearbit.com/getzelos.com,/logos/getzelos-com.png,Clearbit
102.0,PREVENCY,,Germany,https://prevency.com/,"Offers “simulation and training software” for crisis scenarios, disinformation, cyberattacks, hybrid threats, etc.",Information Integrity / Disinformation,GovTech,Y,,InfoRange®,Messaging & Media,https://logo.clearbit.com/prevency.com,/logos/prevency-com.png,Clearbit
107.0,Meta,,USA,https://www.meta.com/,"Social-media platforms + advertising network (Facebook, Instagram, WhatsApp) & digital advertising infrastructure",Media & Messaging,,Y,Social Media,,Messaging & Media,https://logo.clearbit.com/meta.com,/logos/meta-com.png,Clearbit
108.0,CallHub,,USA,https://callhub.io/,"All-in-one campaign outreach & canvassing platform: phone banking, peer-to-peer texting, voice broadcasts, campaign workflows, SMS/voice/email, volunteer mobilisation & CRM integrations",Voter Engagement,Volunteer Mobilisation,Y,Marketing & Outreach,,Engagement & Mobilisation,https://logo.clearbit.com/callhub.io,/logos/callhub-io.png,Clearbit
109.0,Magic LEMP,,France,https://magic-lemp.com/en,"AI solutions focused on multimodal data (text, audio, image), including tools for monitoring political speech, disinformation and narratives (via its subsidiary “Pluralisme”)",Media & Messaging,,Y,,,Messaging & Media,https://logo.clearbit.com/magic-lemp.com,/logos/magic-lemp-com.png,Clearbit
113.0,Facelift Brand Building Technologies GmbH,,Germany,https://facelift-bbt.com/en/,"A SaaS platform for enterprise social-media management, content planning & publishing, community management, multi-network campaigns, analytics - all within one workspace",Media & Messaging,,Y,Social Media Management,,Messaging & Media,https://logo.clearbit.com/facelift-bbt.com,/logos/facelift-bbt-com.png,Clearbit
114.0,Who Targets Me,,Ireland,https://whotargets.me/en/,"A browser extension + research platform that tracks political ads, targeting and spending by parties/advertisers in online platforms; supports transparency, analysis of digital campaign advertising",Media & Messaging,,Y,Ad Tech,,Messaging & Media,https://logo.clearbit.com/whotargets.me,/logos/whotargets-me.png,Clearbit
119.0,IDnow GmbH,,Germany,https://www.idnow.io,"Provides digital identity-verification (KYC/AML), e-signatures, document and biometric checks for enterprises",CivicTech,,Y,,,GovTech / Civic Infrastructure,https://logo.clearbit.com/idnow.io,/logos/idnow-io.png,Clearbit
124.0,Go Vocal,,Belgium,https://www.govocal.com/,"Digital community engagement & participation platform (surveys, voting, participatory budgeting) for governments/municipalities",Participation Tech,,Y,DelibTech,,Engagement & Mobilisation,https://icons.duckduckgo.com/ip3/govocal.com.ico,/logos/govocal-com.ico,DuckDuckGo
125.0,Make.org,,France,https://make.org/MD,Civic-tech platform enabling large-scale citizen consultation & deliberation; supports public institutions and NGOs to generate ideas & actions,Participation Tech,CivicTech,Y,DelibTech,,Engagement & Mobilisation,https://logo.clearbit.com/make.org,/logos/make-org.png,Clearbit
126.0,Delib Ltd,,United Kingdom,https://www.delib.net/,"Provides digital platforms for citizen engagement, consultations, budget simulations and public participation",Participation Tech,CivicTech,Y,DelibTech,Citizen Space/Simulator/Dialogue,Engagement & Mobilisation,https://logo.clearbit.com/delib.net,/logos/delib-net.png,Clearbit
128.0,Dembrane,,Netherlands,https://www.dembrane.com/en-US,"AI-driven stakeholder-engagement platform capturing live & async dialogue, turning unstructured input into structured insights",Participation Tech,CivicTech,Y,DelibTech,,Engagement & Mobilisation,https://logo.clearbit.com/dembrane.com,/logos/dembrane-com.png,Clearbit
129.0,Aristotle Inc.,,United States,https://www.aristotle.com/,"Political-campaign software & data: voter files, fundraising, compliance, analytics",Voter Engagement,Volunteer Mobilisation,Y,,,Engagement & Mobilisation,https://logo.clearbit.com/aristotle.com,/logos/aristotle-com.png,Clearbit
130.0,Lunda,,Austria,https://www.lundadonate.org/,Online donation-form & micro-fundraising software built for progressive movements; optimized for EU jurisdictions,Fundraising,,Y,,,Fundraising,https://logo.clearbit.com/lundadonate.org,/logos/lundadonate-org.png,Clearbit
132.0,Fundraise Up,,United States,https://fundraiseup.com/,"Online fundraising platform with AI-powered conversion, modern payment, donor engagement tools",Fundraising,,Y,,,Fundraising,https://logo.clearbit.com/fundraiseup.com,/logos/fundraiseup-com.png,Clearbit
133.0,Ecanvasser,,Ireland,https://www.ecanvasser.com/,"Field-canvassing & volunteer mobilisation platform: dashboards, mobile apps, walk lists, territory planning for campaigns",Voter Engagement,Volunteer Mobilisation,Y,,,Engagement & Mobilisation,https://logo.clearbit.com/ecanvasser.com,/logos/ecanvasser-com.png,Clearbit
134.0,Stateless,,Hungary,https://www.statelessworks.com/,Provides technology frameworks for parallel vote tabulation (PVT) and election-incident reporting for democratic monitoring,Voting Tech,,Y,,,Voting Tech,https://icons.duckduckgo.com/ip3/statelessworks.com.ico,/logos/statelessworks-com.ico,DuckDuckGo
138.0,Qomon,,France,https://qomon.com/,"Volunteer & supporter mobilization platform with field-canvassing, CRM, territory analysis",Volunteer Mobilisation,Voter Engagement,Y,Marketing & Outreach,,Engagement & Mobilisation,https://logo.clearbit.com/qomon.com,/logos/qomon-com.png,Clearbit
139.0,SoundShape,,Netherlands,https://www.soundshape.eu/,"Provides AI-powered real-time subtitling, translation & captioning for events and video content in multilingual contexts.",Media & Messaging,,Y,,,Messaging & Media,,/logos/placeholder.png,placeholder
141.0,openPetition,,Germany,https://www.openpetition.eu/,"Online platform for citizens’ initiatives, petitions, signatures and debates aimed at increasing civic participation",Participation Tech,CivicTech,Y,,,Engagement & Mobilisation,https://logo.clearbit.com/openpetition.eu,/logos/openpetition-eu.png,Clearbit
142.0,Comitia,,Spain,https://www.scytl.com/,"Electronic voting, election modernization and results-consolidation systems",Voting Tech,,Y,,,Voting Tech,https://logo.clearbit.com/scytl.com,/logos/scytl-com.png,Clearbit
148.0,Atlassian Corporation,,Australia,https://www.atlassian.com/,"Collaboration & productivity software (Jira, Confluence, Trello) for teams globally",Organisational Infrastructure,,Y,,,Organisational Infrastructure,https://logo.clearbit.com/atlassian.com,/logos/atlassian-com.png,Clearbit
149.0,C6 Digital Ltd,,United Kingdom,https://c6digital.io/,"Advocacy-tech & digital mobilisation consultancy - builds bespoke apps, websites, data integrations for campaigns/NGOs",Organisational Infrastructure,,Y,,,Organisational Infrastructure,https://logo.clearbit.com/c6digital.io,/logos/c6digital-io.png,Clearbit
152.0,Reset Tech,,United Kingdom,https://www.reset.tech/,Research & advocacy on digital media threats to democracy; builds tools for media/tech oversight,Media & Messaging,,Y,Information Integrity / Disinformation,,Messaging & Media,https://logo.clearbit.com/reset.tech,/logos/reset-tech.png,Clearbit
154.0,CrowdInsights GmbH,,Germany,https://crowdinsights.de/,"SaaS platform for structured citizen participation: surveys, idea-collections, participatory budgets",Participation Tech,CivicTech,Y,DelibTech,,Engagement & Mobilisation,https://logo.clearbit.com/crowdinsights.de,/logos/crowdinsights-de.png,Clearbit
157.0,TrollWall AI,,Slovakia,https://www.trollwall.ai/,AI-powered platform for comment/moderation on social media; automated removal of hate speech & toxic comments,Media & Messaging,,Y,Information Integrity / Disinformation,,Messaging & Media,https://logo.clearbit.com/trollwall.ai,/logos/trollwall-ai.png,Clearbit
161.0,Qela,,Ukraine,https://www.qela.app/,"Gamified community-builder SaaS for movements & campaigns: tasks, volunteer engagement, voting, leaderboards",Volunteer Mobilisation,Voter Engagement,Y,,,Engagement & Mobilisation,https://logo.clearbit.com/qela.app,/logos/qela-app.png,Clearbit
165.0,Civocracy,,Germany,https://www.civocracy.com/,"SaaS platform for citizen engagement: surveys, idea collection, collaborative decision-making & stakeholder dialogue for governments/organisations",Participation Tech,CivicTech,Y,DelibTech,,Engagement & Mobilisation,https://logo.clearbit.com/civocracy.com,/logos/civocracy-com.png,Clearbit
169.0,YouGov,,United Kingdom,https://yougov.com/,"Online panel research, public-opinion polling, data & analytics",Research,,Y,Opinion Research,,Research & Insights,https://logo.clearbit.com/yougov.com,/logos/yougov-com.png,Clearbit
170.0,Digitale Box,,France,https://digitalebox.com/,All-in-one political campaign CRM and Citizen Request Management systems,Participation Tech,GovTech,Y,,,Engagement & Mobilisation,https://logo.clearbit.com/digitalebox.com,/logos/digitalebox-com.png,Clearbit
171.0,CamBuildr,,Austria,https://cambuildr.com/,"All-in-one campaigning SaaS: landing pages, emails, outreach, supporter DB, behaviour segmentation & automation",Voter Engagement,Volunteer Mobilisation,Y,,,Engagement & Mobilisation,https://logo.clearbit.com/cambuildr.com,/logos/cambuildr-com.png,Clearbit
172.0,POLYAS GmbH,,Germany,https://www.polyas.com/,"Secure online-voting platform for legally-binding elections, nominations & live-voting",Voting Tech,,Y,,,Voting Tech,https://logo.clearbit.com/polyas.com,/logos/polyas-com.png,Clearbit
174.0,SAVOIRR,,Switzerland,https://www.savoirr.com/,A legislative-&-stakeholder-monitoring SaaS platform providing real-time EU policy tracking and stakeholder mapping,Research,,Y,Regulatory & Legislative Intelligence,,Research & Insights,https://icons.duckduckgo.com/ip3/savoirr.com.ico,/logos/savoirr-com.ico,DuckDuckGo
175.0,Demosquare,,Switzerland,https://demosquare.com/en/,"AI-powered SaaS platform for monitoring legislation, stakeholder signals & public affairs in Europe",Research,,Y,Regulatory & Legislative Intelligence,,Research & Insights,https://logo.clearbit.com/demosquare.com,/logos/demosquare-com.png,Clearbit
176.0,Valent Projects Ltd,,United Kingdom,https://valent-projects.com/,"AI-powered narrative monitoring, bot & disinformation detection for communications teams",Media & Messaging,Research,Y,Information Integrity / Disinformation,,Messaging & Media,https://logo.clearbit.com/valent-projects.com,/logos/valent-projects-com.png,Clearbit
181.0,Suffrago,,United Kingdom,https://www.suffrago.org/,"Civic-tech platform enabling anonymous citizen input, constituency data dashboards & legislative tracking for elected officials",Voting Tech,Participation Tech,Y,,,Voting Tech,https://logo.clearbit.com/suffrago.org,/logos/suffrago-org.png,Clearbit
182.0,Polpo BV,,Netherlands,https://polpo.com/,"AI-powered political monitoring platform: parliament tracking, stakeholder mapping, newsletters",Research,,Y,Regulatory & Legislative Intelligence,,Research & Insights,https://logo.clearbit.com/polpo.com,/logos/polpo-com.png,Clearbit
183.0,Commonplace,,United Kingdom,https://www.commonplace.is/,"Digital citizen engagement & consultation SaaS: collects ideas, feedback, analytics for local governments & infrastructure.",Participation Tech,,Y,,,Engagement & Mobilisation,https://logo.clearbit.com/commonplace.is,/logos/commonplace-is.png,Clearbit
184.0,NapoleonCat,,Poland,https://napoleoncat.com/,"All-in-one social-media management platform: publish, schedule, auto-moderate comments, analyze across many channels",Media & Messaging,,Y,Social Media Management,,Messaging & Media,https://logo.clearbit.com/napoleoncat.com,/logos/napoleoncat-com.png,Clearbit
188.0,Bodyguard,,France,https://www.bodyguard.ai/en,"AI-powered real-time content moderation (text, image, video) & audience intelligence for online communities and platforms",Media & Messaging,,Y,,,Messaging & Media,https://logo.clearbit.com/bodyguard.ai,/logos/bodyguard-ai.png,Clearbit
189.0,Engaging Networks,,United Kingdom,https://www.engagingnetworks.net/,"Digital engagement platform: fundraising, advocacy, email/SMS, supporter databases & political-targeted tools",Fundraising,Volunteer Mobilisation,Y,,,Fundraising,https://logo.clearbit.com/engagingnetworks.net,/logos/engagingnetworks-net.png,Clearbit
190.0,ElevenLabs,,United States,https://elevenlabs.io/,"AI-powered voice synthesis and audio generation (text-to-speech, voice cloning, dubbing)",Media & Messaging,,Y,,,Messaging & Media,https://logo.clearbit.com/elevenlabs.io,/logos/elevenlabs-io.png,Clearbit
191.0,Spaak Technologies,,Denmark,https://spaak.ai/,"AI-native “operating system” for public affairs: policy monitoring, stakeholder tracking, automated brief drafting",Research,,Y,Regulatory & Legislative Intelligence,Hamilton,Research & Insights,https://icons.duckduckgo.com/ip3/spaak.ai.ico,/logos/spaak-ai.ico,DuckDuckGo
192.0,Nexus Politics,,Germany,https://www.nexuspolitics.org/,"AI-driven platform linking citizens & politicians: citizen concerns, polling, legislative tracking, political CRM",Participation Tech,,Y,,,Engagement & Mobilisation,https://icons.duckduckgo.com/ip3/nexuspolitics.org.ico,/logos/nexuspolitics-org.ico,DuckDuckGo
193.0,Psi Tech,,United Kingdom,https://psi.tech/,AI-based collective intelligence platform for stakeholder conversations and opinion research,Research,,Y,Opinion Research,,Research & Insights,https://icons.duckduckgo.com/ip3/psi.tech.ico,/logos/psi-tech.ico,DuckDuckGo
194.0,Data Sciences Inc.,,Canada,https://datasciences.ca/,"Marketing, data-analytics & predictive modelling for clients including political campaigns",Data Analytics and Modeling,,Y,Voter Modeling,,Data Analytics & Modeling,https://logo.clearbit.com/datasciences.ca,/logos/datasciences-ca.png,Clearbit
196.0,Stenomatic,,Singapore,https://www.stenomatic.ai/,AI-powered real-time translation and interpretation platform supporting 70+ languages and video calls,Media & Messaging,,Y,,,Messaging & Media,https://logo.clearbit.com/stenomatic.ai,/logos/stenomatic-ai.png,Clearbit
197.0,NemoVote,,Germany,https://nemovote.com/,"Secure online voting software for associations, unions, NGOs and political parties",Voting Tech,,Y,,,Voting Tech,https://logo.clearbit.com/nemovote.com,/logos/nemovote-com.png,Clearbit
198.0,Ipsos,,France,https://www.ipsos.com/en-us,"Global market-research & public-opinion polling firm; provides data and insights across society, markets and politics",Research,,Y,Opinion Research,,Research & Insights,https://logo.clearbit.com/ipsos.com,/logos/ipsos-com.png,Clearbit
199.0,Conversation Starter BV,,Belgium,https://www.conversationstarter.net/,"Platform for event networking: scheduling meetings, community building, agendas for participants",Community Engagement,,Y,,,Engagement & Mobilisation,https://logo.clearbit.com/conversationstarter.net,/logos/conversationstarter-net.png,Clearbit
200.0,Logically,,United Kingdom,https://logically.ai/,"AI‐driven narrative intelligence and disinformation monitoring: predictive modelling, network detection, multi-language monitoring across 50+ languages",Research,Data Analytics and Modeling,Y,,,Research & Insights,https://logo.clearbit.com/logically.ai,/logos/logically-ai.png,Clearbit
